Detector,Condition,F1 (fixed),F1_CI95,AUC,AUC_CI95,Precision,Recall,n_seeds
PCA,baseline,0.5238 ± 0.0000,"[0.5238, 0.5238]",0.7244 ± 0.0000,"[0.7244, 0.7244]",0.9072 ± 0.0000,0.3682 ± 0.0000,10
PCA,missing_20pct,0.6958 ± 0.0087,"[0.6912, 0.7011]",0.6184 ± 0.0125,"[0.6109, 0.6256]",0.7094 ± 0.0083,0.6828 ± 0.0120,10
PCA,noise_5dB,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.4985 ± 0.0127,"[0.4909, 0.5058]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
PCA,spikes_0.5pct,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.4981 ± 0.0090,"[0.4931, 0.5034]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
PCA,drift,0.4223 ± 0.0129,"[0.4146, 0.4298]",0.3651 ± 0.0275,"[0.3484, 0.3811]",0.4963 ± 0.0355,0.3682 ± 0.0000,10
IsolationForest,baseline,0.1847 ± 0.0108,"[0.1783, 0.1910]",0.6842 ± 0.0074,"[0.6800, 0.6888]",0.7546 ± 0.0187,0.1053 ± 0.0069,10
IsolationForest,missing_20pct,0.2103 ± 0.0125,"[0.2033, 0.2177]",0.6820 ± 0.0088,"[0.6768, 0.6875]",0.7473 ± 0.0273,0.1225 ± 0.0083,10
IsolationForest,noise_5dB,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.6258 ± 0.0582,"[0.5912, 0.6589]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
IsolationForest,spikes_0.5pct,0.7504 ± 0.0031,"[0.7484, 0.7521]",0.6138 ± 0.0191,"[0.6017, 0.6242]",0.6051 ± 0.0022,0.9875 ± 0.0064,10
IsolationForest,drift,0.1808 ± 0.0105,"[0.1746, 0.1868]",0.5890 ± 0.0343,"[0.5699, 0.6098]",0.6421 ± 0.0245,0.1053 ± 0.0069,10
OneClassSVM,baseline,0.7739 ± 0.0000,"[0.7739, 0.7739]",0.7447 ± 0.0000,"[0.7447, 0.7447]",0.8302 ± 0.0000,0.7247 ± 0.0000,10
OneClassSVM,missing_20pct,0.7640 ± 0.0066,"[0.7602, 0.7678]",0.7082 ± 0.0119,"[0.7009, 0.7150]",0.7075 ± 0.0080,0.8305 ± 0.0094,10
OneClassSVM,noise_5dB,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.5000 ± 0.0000,"[0.5000, 0.5000]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
OneClassSVM,spikes_0.5pct,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.5002 ± 0.0016,"[0.4991, 0.5011]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
OneClassSVM,drift,0.7270 ± 0.0012,"[0.7263, 0.7277]",0.6491 ± 0.0081,"[0.6444, 0.6537]",0.7293 ± 0.0024,0.7247 ± 0.0000,10
DenseAE,baseline,0.6418 ± 0.0459,"[0.6126, 0.6648]",0.8082 ± 0.0093,"[0.8025, 0.8135]",0.9208 ± 0.0093,0.4942 ± 0.0512,10
DenseAE,missing_20pct,0.6774 ± 0.0187,"[0.6658, 0.6877]",0.7071 ± 0.0194,"[0.6949, 0.7180]",0.7550 ± 0.0112,0.6146 ± 0.0251,10
DenseAE,noise_5dB,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.4994 ± 0.0135,"[0.4912, 0.5072]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
DenseAE,spikes_0.5pct,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.4994 ± 0.0130,"[0.4925, 0.5072]",0.6024 ± 0.0000,1.0000 ± 0.0000,10
DenseAE,drift,0.5977 ± 0.0405,"[0.5718, 0.6188]",0.6489 ± 0.0248,"[0.6328, 0.6619]",0.7624 ± 0.0390,0.4942 ± 0.0512,10
LSTM_AE,baseline,0.8006 ± 0.0502,"[0.7626, 0.8386]",0.8729 ± 0.0122,"[0.8636, 0.8829]",0.9175 ± 0.0162,0.7146 ± 0.0845,5
LSTM_AE,missing_20pct,0.8006 ± 0.0511,"[0.7602, 0.8384]",0.8712 ± 0.0122,"[0.8619, 0.8805]",0.9114 ± 0.0109,0.7181 ± 0.0852,5
LSTM_AE,noise_5dB,0.7519 ± 0.0000,"[0.7519, 0.7519]",0.5442 ± 0.0081,"[0.5380, 0.5506]",0.6024 ± 0.0000,1.0000 ± 0.0000,5
