,Completeness,Accuracy,Consistency,SNR (dB),Composite
Acc_1,1.0,0.8776073114502141,1.0,56.637215393617225,96.33
Acc_2,1.0,0.9934719194517196,1.0,47.91983494053195,99.8
Acc_3,1.0,0.999996079230902,1.0,42.49581274035431,100.0
Acc_4,1.0,0.9851677305020152,1.0,42.316801317223934,99.56
Acc_5,1.0,0.7776492636795633,1.0,55.15810781458498,93.33
Strain_1,1.0,0.777749243291564,1.0,59.457968729815065,93.33
Strain_2,1.0,0.7579728839609178,1.0,59.027321662916364,92.74
Strain_3,1.0,0.8109503160139893,1.0,61.58553563583611,94.33
Strain_4,1.0,0.7267753242476045,1.0,55.69251629339793,91.8
Strain_5,1.0,0.7810485704875869,1.0,52.882963808539635,93.43
