scheme_i,scheme_j,spearman_rho,kendall_tau
Entropy (data-driven),"Expert (0.40, 0.30, 0.20, 0.10)",0.996965091635306,0.9888264649460884
Entropy (data-driven),"Expert (0.30, 0.30, 0.20, 0.20)",0.996965091635306,0.9888264649460884
Entropy (data-driven),"Expert (0.25, 0.25, 0.25, 0.25)",0.996965091635306,0.9888264649460884
Entropy (data-driven),"Expert (0.20, 0.40, 0.20, 0.20)",0.996965091635306,0.9888264649460884
Entropy (data-driven),"Expert (0.20, 0.20, 0.30, 0.30)",0.996965091635306,0.9888264649460884
"Expert (0.40, 0.30, 0.20, 0.10)","Expert (0.30, 0.30, 0.20, 0.20)",1.0,1.0
"Expert (0.40, 0.30, 0.20, 0.10)","Expert (0.25, 0.25, 0.25, 0.25)",1.0,1.0
"Expert (0.40, 0.30, 0.20, 0.10)","Expert (0.20, 0.40, 0.20, 0.20)",1.0,1.0
"Expert (0.40, 0.30, 0.20, 0.10)","Expert (0.20, 0.20, 0.30, 0.30)",1.0,1.0
"Expert (0.30, 0.30, 0.20, 0.20)","Expert (0.25, 0.25, 0.25, 0.25)",1.0,1.0
"Expert (0.30, 0.30, 0.20, 0.20)","Expert (0.20, 0.40, 0.20, 0.20)",1.0,1.0
"Expert (0.30, 0.30, 0.20, 0.20)","Expert (0.20, 0.20, 0.30, 0.30)",1.0,1.0
"Expert (0.25, 0.25, 0.25, 0.25)","Expert (0.20, 0.40, 0.20, 0.20)",1.0,1.0
"Expert (0.25, 0.25, 0.25, 0.25)","Expert (0.20, 0.20, 0.30, 0.30)",1.0,1.0
"Expert (0.20, 0.40, 0.20, 0.20)","Expert (0.20, 0.20, 0.30, 0.30)",1.0,1.0
